Date,FGR No 1,FGR No 2,ETL-15,ETL-9,ETL-6,5-EL,3-EL,1-EL,2-EL,Talc,EC-15,EC-90,Total
1-Aug,,9583,,41,,,,,39.75,,,,80.75
2-Aug,,9584,,50.64,,,,,30.575,,,,81.215
3-Aug,,9585,,59.24,,,,,27.225,,,,86.465
4-Aug,,9586,,51.6,,,,,21.125,,,,72.725
5-Aug,,9587,,41.8,,,,,23.35,,,,65.15
6-Aug,,9588,,31.32,,,,,26.125,,,,57.445
7-Aug,,9589,,50.4,,,,,41.75,,,,92.15
8-Aug,,9590,,51.64,,,,,41.5,,,,93.14
9-Aug,,9591,,23.24,,,,,30.775,,,,54.015
10-Aug,,9592,,36.4,,,,,29.075,,,,65.475
11-Aug,,9593,,38.92,,,24.375,,1.775,,,,65.07
12-Aug,,9594,,23.04,,,30.175,,,,,,53.215
13-Aug,,9595,,37.56,,,29.3,,,,,,66.86
14-Aug,,9596,,26.64,,,30,,,,,,56.64
15-Aug,,9597,,26.84,,,39.475,,,,,,66.315
16-Aug,,9598,,17.76,,,19.7,,,,,,37.46
17-Aug,,9599,,45.72,,,32.525,,,,,,78.245
18-Aug,,9600,,28.12,,,30.35,,,,,,58.47
19-Aug,,9601,,38.2,,46.25,0.175,,,,,,84.625
20-Aug,,9602,,34.76,,56.625,,,,,,,91.385
21-Aug,,9603,,34.96,,46.625,,,,,,,81.585
22-Aug,9521,9604,,1.48,,43,,,,,6.425,,50.905
23-Aug,9522,9605,,,,35.5,,,,,,39.12,74.62
24-Aug,9523,9606,,,,,,,34.075,,,23.04,57.115
25-Aug,9524,9607,,,,,,,15.675,,,6.44,22.115
26-Aug,9525,9608,,,,,,,21.2,,,9.72,30.92
27-Aug,,,,,,,,,,,,,0
28-Aug,9526,9609,,,,,,,8,,,3.6,11.6
29-Aug,9527,9610,,,,,,,20,,,10,30
30-Aug,9528,9611,,,,,,,16.45,,,8.4,24.85
31-Aug,9529,9612,,,,,,,18.75,,,8.96,27.71
